06			
Lb08	33		
0000000465edddcd023621ead51dfef3fca4e2572f43a9ade5a8ff279dec75f3			
01	712f5948812e179e36ad2c21141e9d04636680ca06a1174b4f910887b4111896	02a	100
02	8eb2ed7342a931a59f9cf230c47ad653c3f6ea967ead2b9cc5310e0992c1ec11	1ca	100
03	655bb334ae6b086ae38d5f2b08ef250e9058fad09b69633815e0e388c9e077e2	28a	100
04	2b91d6c08ed42bfee23eddae1b8418c6ead24d187321a2c6cbdd4108b8cd8b05	28e	100
05	4b1ba9742c13104706fb1130a1f0c723b549b920e0e9ef512477384ac9363dff	2fc	100
06	241e7511712b4b67621952ce7e4b5b03a9d1ffbfc9e49f0e92aac90d3b06117b	35a	100
07	e995ea41ca1e0fd8364b632c65760b4c34ffb7c66b7e87f2c903ac124337e2ba	3b5	100
08	437a38e861f007df08b3a9acf3f8b60001b23ef1401155bab83bd680e211709a	3da	100
09	f307b9bc9ddd39c707b0874d4b018d91c1111ee9c67ac5b2c289e5bed629dd46	4c8	100
10	d8c915448201a30dcc797d2e21956b9f78091206bed8065b1286a40d4cd6d63e	50f	100
11	7a61bb5492ed358ff146cfa2ae1089913a7effeda98a957ea8188bde00af88ef	58f	100
12	a1d34c636e195560020a0e5a7c5c7f4aae19c5c9489ad6dac5eac0f495c1d933	5e7	100
13	0a15b998fe9cbcf686f6ba5a8917ef04bfb403fe7ed0c8d40ecfaecd609b0e64	6a7	100
14	69e820278a79cc25df38c9875b276456aa724d91466a82ae433477f0b7fdb4b0	6f7	100
15	5b27dc690b84e5f40c67d13fbc2c8b25975e6437e6311242f15d75177abff9fb	700	100
16	96762e68168c14cf58f927d43bd8c4e98fe8077fd2e7803b6d28f856daa16c3c	702	100
17	086cfeee7029c4ad8405016eabcd678c6f6f71fbc7d55bb8e68c93563f0d305d	73e	100
18	887ecd2c0c6f0cc5db95dfac517981a53365b2ea6340cf3312984b1d26934b4b	7b2	100
19	d37746f831da9f695dd3609eaf39cbe3bd836ade84b5c53f716772658a33a62e	852	100
20	71ae33c7482064edb2795bad901644b4e01df2ff63f14a4b3b6e9b2af2a9a770	894	100
21	1931266d0bdaebe3d65754dad100139866ada556e60fd3c9d2c876ed918c826e	8c1	100
22	72802445a45a9de4331ba6a64a047253d0cc95e240149087fdd5782295e3a8c3	981	100
23	ef8cf7b9a831bb4cc9b6cbfe9517b3e8d924204baf111cc5d783b164d5fe3fac	9eb	100
24	d43ca95a1b37293505de8ee25de9153ee5acb9d579ba360bcc28bea663cbef7b	a06	100
25	755aad5f0bdf40acd71cec0c55018e53b64ad38ab4f6bdf13bdc5e0937a6071f	a6c	100
26	fa373f36550dbb3f51e09fdce15f40571c4f472d3e6ff599c038137160135af8	ab6	100
27	2b33c4deca06b48ebaaca74a512a06be9753f6d9d815ca7d4a7d02b9528aaf0c	b01	100
28	a1473ac0960aab904d48cd7e793c0537fddcc90a349a66e1dab5098bd64be2e2	bad	100
29	4282db8b6cf0642e91c8d4154b6283a490ef3423bdda0bfbee54f2b0e3bd7914	bbb	100
30	4b7f350ffa764d10091031ce67b5f8fc153a9590119e0b3e131cfb57eec52fab	c18	100
31	c846e7f59979bc56be6173541267804998f0a3bb022e5084c32d55da47c77c03	ce4	100
32	e31fa33dc584494fc64bd0f3a844a7b667b68c20e58cb1d6785bcfa3fe9e077b	ea3	100
33	365b104b21b972793924180aad15eb17723c6d0e7c154680e31a5b4cd7a77b62	ebb	100
