04			
S62	38		
00000082b4809fe6184d0befda91f3ad2f6aaef3e815c2161eef3031a2230430			
01	50021a2ae86575ec09cb6aae00feb413b8a17165ffb0e65f565987157bda2244	04	100
02	4db322c67e59915fd3660ffa6d8ede502bc6be94030be13588f45fc54eefd949	0d	100
03	6eedd0fe90dcac3511fe06c594adb46476b34fea47e581c61da39327adaa0835	13	100
04	168e9ad1b19ef625adc8c407b4992be4eb0cd1ba7cac4d58ce618c9fbbbead4e	16	100
05	adcfa2bcaeb469dec64557ad5b781d520ea1166ee435c58fcf7b5ce3e9b093a6	29	100
06	800ecff79a7242074c32998ac200f268e88e61f81b45be2ad8b39303ae4d3a25	2e	150
07	d772489c3def037b5d28dac5ee27a293cb5bc832cd5030bdde9db4b92a49d3c7	31	100
08	a23ec7b6bab2e08efbe8ce9796014a59aa657702ce8ffe77e6b5fec4eb796942	37	100
09	590965c042f9111692c87633b47f37494d5d6e8929ea1cf95e8cd3a699309b2e 	45	100
10	1eb2b7de6088aaae6492971023249fe9cc73dd57e4e23b8c07ead60ab64eb6d4	4e	100
11	e108e55a9639437ceace0194db7165738ee3b88fbece6870c34d7e22e08afdc2	51	100
12	1d40612c5d866b1c919117c44ba84ac06221db2da0a784293d3559a6bfd23217	56	100
13	518445153da92ecb94d4c09b749c8c38b5bb88ec1141c701702c1db748df81a0	63	100
14	658b6efb88f2629e91373f1fc1fef26c1f7463f0b0a951d0a1198d7058c80c17	6a	100
15	a082a9eadc8b28f2becfcc53683fce8ef0c05d0d9c3f570adfd3992f09e8db1d	7b	100
16	ccb9bff8953032cb0f561cd1b839c362126185058121a0853625ea9c05ac53e1	7c	100
17	bed3f00a1615d309ef3c8e06b11fa1999925747637f6a3605e36e8e9ef8d5f0b	87	100
18	57c9696e6ba65292f1c1dc9fafd45199a7de4ff8c75b0977e1d6089e1750504b	88	100
19	1a2210679b4138b95f1dd756a9c64467711430638bb7cad11f7c7cdcf6678620	8b	100
20	11ac8c7eb8e6a448fc6fb4a0011c776d9b46b4d6c78102b099160d55897541c2	91	200
21	80ffbf619fd1b4ba671390081653c8eb3c78e06d381e7d8c84ad3c86b53d0ec0	9f	100
22	f1144684f059e66fe7e2fcd2af4795323154c322c6243463ea5ecd41bd262b8c	a3	100
23	bd2bd77c86615d2eeae50daa2548d7227b796c962ab6703ef703f772406529db	a5	100
24	dbf55ff82f2d984ca6ec35f2c87d261f97f363a011cb0c7640296a9c435b5ad5	a7	100
25	39ef22fccdaec586d39fdc77cfa1318a0afe11f2e3b9b359c6b5467ab84453c6	b4	100
26	ba149fa5dc57f06dfcaeb67dfdc105e406eed8f6375caa2cdb510670eca60765	b7	100
27	cba64107651815a6a0b66085efe8c78eb2b542d30347d4d9b2bafe7c5b4fabcb	b9	150
28	101941e127ca132327fe726331bee1968b9e8be19d45cbb79eb7ca256fd0464a	c1	100
29	bde1358f887bc535304b1326334fc09f796e1627194d8e8ad1e3834afd89eb1b	cf	100
30	a5bf062daaf0626497f1acced00941a1a8d0eea651a493b6ac424b83060ce73a	d2	100
31	71fc00c37c3b62e6c8102591a867cd4c0fc0cfd90da3c4b317aa7928c62ccec0	dd	100
32	0557a60cbacaadd42df68466ee54ad7f374ec9ce66f6ee349dfc0b0054a78fa9	de	150
33	2421de9fbc4909d3d53ed89126b8d8ced5d91287bdeebea204f421b4a16cf024	e7	100
34	0b611e15c517bd053b7bb124d635c2cf173094564d3d550a898ec8778acff424	ec	100
35	f2ceb3491792a37c14844f414d171c6381b88c29a932c3e3857fa478f9964f0e	ee	150
36	a74bcba2633164c3a616dcb04e679d1b9c51ea3f1a00fb79531896a46f02a8e4	f0	50
37	7877ac89a632af3e7ee26e0ea8519f6d5e838b22f5552c61402b1dec93f5bb0b	f6	100
38	7832c53aa05e6aa4768cf9c7deba67f1fe6656133b318613aecbd24bf1945c66	fe	100
abcdac6f d2 100
